x,y
-3.141592654,-2.868717
-3.141592654,-2.828844
-3.141592654,-2.803121
-3.141592654,-2.739582
-3.141592654,-2.702528
-3.141592654,-2.682547
-3.141592654,-2.67373
-3.141592654,-2.623252
-3.141592654,-2.611771
-3.141592654,-2.58345
-3.141592654,-2.57004
-3.141592654,-2.504989
-3.141592654,-2.494719
-3.141592654,-2.462001
-3.141592654,-2.380852
-3.141592654,-2.372465
-3.141592654,-2.356942
-3.141592654,-2.294878
-3.141592654,-2.27831
-3.141592654,-2.272383
-3.141592654,-2.272086
-3.141592654,-2.228403
-3.141592654,-2.215089
-3.141592654,-2.164713
-3.141592654,-2.15661
-3.141592654,-2.128536
-3.141592654,-2.105525
-3.141592654,-2.098438
-3.141592654,-2.091852
-3.141592654,-2.088826
-3.141592654,-2.061424
-3.141592654,-2.042214
-3.141592654,-1.999859
-3.141592654,-1.96367
-3.141592654,-1.955767
-3.141592654,-1.916042
-3.141592654,-1.899351
-3.141592654,-1.870693
-3.141592654,-1.839782
-3.141592654,-1.81089
-3.141592654,-1.804365
-3.141592654,-1.794409
-3.141592654,-1.764494
-3.141592654,-1.76415
-3.141592654,-1.734116
-3.141592654,-1.70822
-3.141592654,-1.652687
-3.141592654,-1.640859
-3.141592654,-1.640732
-3.141592654,-1.620188
-3.141592654,-1.605208
-3.141592654,-1.59726
-3.141592654,-1.59468
-3.141592654,-1.58122
-3.141592654,-1.579662
-3.141592654,-1.576657
-3.141592654,-1.572709
-3.141592654,-1.569792
-3.141592654,-1.567569
-3.141592654,-1.550038
-3.141592654,-1.534849
-3.141592654,-1.517766
-3.141592654,-1.515702
-3.141592654,-1.512173
-3.141592654,-1.50857
-3.141592654,-1.49343
-3.141592654,-1.46719
-3.141592654,-1.423795
-3.141592654,-1.388048
-3.141592654,-1.353765
-3.141592654,-1.162347
-3.141592654,-1.103033
-3.141592654,2.341939
-3.141592654,2.360543
-3.141592654,2.36572
-3.141592654,2.383498
-3.141592654,2.812348
-3.141592654,2.818486
-3.141592654,2.822994
